;UserID;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;Combined_EmploymentItems;Num_EmploymentItems
369;10253;['dental assistant', 'head dental assistant office', 'dental assistant desk', 'dental assistant'];['31-9091', '31-9091', '43-6013', '31-9091'];['31-90', '31-90', '43-60', '31-90'];['31', '31', '43', '31'];[('31-9091', '31-90', '31', 'dental assistant'), ('31-9091', '31-90', '31', 'head dental assistant office'), ('43-6013', '43-60', '43', 'dental assistant desk'), ('31-9091', '31-90', '31', 'dental assistant')];4
370;10269;['customer service cashier', 'customer service cashier', 'accounts payable data entry clerk', 'business assistant office manager', 'customer service manager'];['41-2011', '41-2011', '43-3031', '43-6014', '43-1011'];['41-20', '41-20', '43-30', '43-60', '43-10'];['41', '41', '43', '43', '43'];[('41-2011', '41-20', '41', 'customer service cashier'), ('41-2011', '41-20', '41', 'customer service cashier'), ('43-3031', '43-30', '43', 'accounts payable data entry clerk'), ('43-6014', '43-60', '43', 'business assistant office manager'), ('43-1011', '43-10', '43', 'customer service manager')];5
372;10303;['triage administration medication charting patient teaching management crash cart ordering', 'triage administration medication'];['29-1141', '29-1141'];['29-10', '29-10'];['29', '29'];[('29-1141', '29-10', '29', 'triage administration medication charting patient teaching management crash cart ordering'), ('29-1141', '29-10', '29', 'triage administration medication')];2
373;10334;['environmental services director', 'environmental services operations manager', 'vice president administration human resources', 'operations manager', 'store manager', 'director environmental services department'];['11-3012', '11-1021', '11-3121', '11-1021', '11-1021', '11-3012'];['11-30', '11-10', '11-30', '11-10', '11-10', '11-30'];['11', '11', '11', '11', '11', '11'];[('11-3012', '11-30', '11', 'environmental services director'), ('11-1021', '11-10', '11', 'environmental services operations manager'), ('11-3121', '11-30', '11', 'vice president administration human resources'), ('11-1021', '11-10', '11', 'operations manager'), ('11-1021', '11-10', '11', 'store manager'), ('11-3012', '11-30', '11', 'director environmental services department')];6
374;10404;['payroll clerk administration', 'tax preparer admin clerk', 'store clerk bed', 'communications officer'];['43-3051', '13-2082', '41-2011', '11-2032'];['43-30', '13-20', '41-20', '11-20'];['43', '13', '41', '11'];[('43-3051', '43-30', '43', 'payroll clerk administration'), ('13-2082', '13-20', '13', 'tax preparer admin clerk'), ('41-2011', '41-20', '41', 'store clerk bed'), ('11-2032', '11-20', '11', 'communications officer')];4
375;10407;['route driver', 'receiving clerk', 'material handler'];['53-3031', '43-5071', '53-7062'];['53-30', '43-50', '53-70'];['53', '43', '53'];[('53-3031', '53-30', '53', 'route driver'), ('43-5071', '43-50', '43', 'receiving clerk'), ('53-7062', '53-70', '53', 'material handler')];3
376;10470;['sr information specialist project management', 'ophthalmic technician'];['15-1299', '29-2057'];['15-12', '29-20'];['15', '29'];[('15-1299', '15-12', '15', 'sr information specialist project management'), ('29-2057', '29-20', '29', 'ophthalmic technician')];2
377;10503;['customer service representative', 'travel expense compliance auditor accounts payable department', 'procurement buyer', 'accounts payable analyst', 'director teacher bookkeeper'];['43-4051', '43-3031', '13-1023', '43-3031', '25-2031'];['43-40', '43-30', '13-10', '43-30', '25-20'];['43', '43', '13', '43', '25'];[('43-4051', '43-40', '43', 'customer service representative'), ('43-3031', '43-30', '43', 'travel expense compliance auditor accounts payable department'), ('13-1023', '13-10', '13', 'procurement buyer'), ('43-3031', '43-30', '43', 'accounts payable analyst'), ('25-2031', '25-20', '25', 'director teacher bookkeeper')];5
378;10551;['contract staff', 'crew member'];['13-1023', '35-3023'];['13-10', '35-30'];['13', '35'];[('13-1023', '13-10', '13', 'contract staff'), ('35-3023', '35-30', '35', 'crew member')];2
379;10577;['catering director', 'catering director store manager', 'office manager sales'];['11-9051', '11-1021', '11-2022'];['11-90', '11-10', '11-20'];['11', '11', '11'];[('11-9051', '11-90', '11', 'catering director'), ('11-1021', '11-10', '11', 'catering director store manager'), ('11-2022', '11-20', '11', 'office manager sales')];3
381;10608;['captain banquet server', 'student pharmacy aide'];['35-3031', '31-9095'];['35-30', '31-90'];['35', '31'];[('35-3031', '35-30', '35', 'captain banquet server'), ('31-9095', '31-90', '31', 'student pharmacy aide')];2
382;10643;['certified trainer', 'server'];['13-1151', '35-3031'];['13-10', '35-30'];['13', '35'];[('13-1151', '13-10', '13', 'certified trainer'), ('35-3031', '35-30', '35', 'server')];2
383;10655;['office assistant', 'communications assistant'];['43-6014', '43-6014'];['43-60', '43-60'];['43', '43'];[('43-6014', '43-60', '43', 'office assistant'), ('43-6014', '43-60', '43', 'communications assistant')];2
385;10710;['.net software developer', '.net software developer', '.net software developer'];['15-1252', '15-1252', '15-1252'];['15-12', '15-12', '15-12'];['15', '15', '15'];[('15-1252', '15-12', '15', '.net software developer'), ('15-1252', '15-12', '15', '.net software developer'), ('15-1252', '15-12', '15', '.net software developer')];3
386;10729;['building superintendent', 'apartment superintendent'];['11-9021', '11-9141'];['11-90', '11-90'];['11', '11'];[('11-9021', '11-90', '11', 'building superintendent'), ('11-9141', '11-90', '11', 'apartment superintendent')];2
388;10782;['assistance category finance manager', 'finance executive operations', 'supply chain officer manufacturing'];['11-3031', '11-1021', '11-3071'];['11-30', '11-10', '11-30'];['11', '11', '11'];[('11-3031', '11-30', '11', 'assistance category finance manager'), ('11-1021', '11-10', '11', 'finance executive operations'), ('11-3071', '11-30', '11', 'supply chain officer manufacturing')];3
389;10783;['clinician', 'clinician', 'administrative assistant', 'case manager', 'clinician'];['21-1023', '21-1023', '43-6014', '21-1093', '21-1023'];['21-10', '21-10', '43-60', '21-10', '21-10'];['21', '21', '43', '21', '21'];[('21-1023', '21-10', '21', 'clinician'), ('21-1023', '21-10', '21', 'clinician'), ('43-6014', '43-60', '43', 'administrative assistant'), ('21-1093', '21-10', '21', 'case manager'), ('21-1023', '21-10', '21', 'clinician')];5
390;10815;['human resources manager', 'human resources manager', 'human resources manager'];['11-3121', '11-3121', '11-3121'];['11-30', '11-30', '11-30'];['11', '11', '11'];[('11-3121', '11-30', '11', 'human resources manager'), ('11-3121', '11-30', '11', 'human resources manager'), ('11-3121', '11-30', '11', 'human resources manager')];3
391;10857;['director large fleet sales', 'account executive', 'district sales manager', 'sales representative', 'sales representative'];['41-1012', '41-4012', '11-2022', '41-4012', '41-4012'];['41-10', '41-40', '11-20', '41-40', '41-40'];['41', '41', '11', '41', '41'];[('41-1012', '41-10', '41', 'director large fleet sales'), ('41-4012', '41-40', '41', 'account executive'), ('11-2022', '11-20', '11', 'district sales manager'), ('41-4012', '41-40', '41', 'sales representative'), ('41-4012', '41-40', '41', 'sales representative')];5
392;10904;['office manager', 'dispatcher customer service', 'sales associate', 'personal office assistant', 'title clerk secretary', 'retail coordinator'];['43-1011', '43-1011', '41-2031', '43-6014', '43-9061', '41-1011'];['43-10', '43-10', '41-20', '43-60', '43-90', '41-10'];['43', '43', '41', '43', '43', '41'];[('43-1011', '43-10', '43', 'office manager'), ('43-1011', '43-10', '43', 'dispatcher customer service'), ('41-2031', '41-20', '41', 'sales associate'), ('43-6014', '43-60', '43', 'personal office assistant'), ('43-9061', '43-90', '43', 'title clerk secretary'), ('41-1011', '41-10', '41', 'retail coordinator')];6
394;10971;['case manager', 'operations manager'];['21-1093', '11-1021'];['21-10', '11-10'];['21', '11'];[('21-1093', '21-10', '21', 'case manager'), ('11-1021', '11-10', '11', 'operations manager')];2
395;10982;['receptionist', 'dental assistant'];['43-4171', '31-9091'];['43-40', '31-90'];['43', '31'];[('43-4171', '43-40', '43', 'receptionist'), ('31-9091', '31-90', '31', 'dental assistant')];2
396;11014;['licensed practical nurse', 'licensed practical nurse'];['29-2061', '29-2061'];['29-20', '29-20'];['29', '29'];[('29-2061', '29-20', '29', 'licensed practical nurse'), ('29-2061', '29-20', '29', 'licensed practical nurse')];2
397;11126;['consultant', 'senior project leader', 'consultant', 'senior software test engineer'];['13-1111', '13-1082', '13-1111', '15-1253'];['13-10', '13-10', '13-10', '15-12'];['13', '13', '13', '15'];[('13-1111', '13-10', '13', 'consultant'), ('13-1082', '13-10', '13', 'senior project leader'), ('13-1111', '13-10', '13', 'consultant'), ('15-1253', '15-12', '15', 'senior software test engineer')];4
398;11148;['certified nurse aide', 'support associate', 'certified nurse aide', 'cashier'];['31-1131', '43-4051', '31-1131', '41-2011'];['31-10', '43-40', '31-10', '41-20'];['31', '43', '31', '41'];[('31-1131', '31-10', '31', 'certified nurse aide'), ('43-4051', '43-40', '43', 'support associate'), ('31-1131', '31-10', '31', 'certified nurse aide'), ('41-2011', '41-20', '41', 'cashier')];4
400;11260;['production control coordinator', 'inventory specialist', 'store clerk'];['43-5061', '53-7065', '41-2011'];['43-50', '53-70', '41-20'];['43', '53', '41'];[('43-5061', '43-50', '43', 'production control coordinator'), ('53-7065', '53-70', '53', 'inventory specialist'), ('41-2011', '41-20', '41', 'store clerk')];3
401;11267;['unarmed security guard', 'unarmed security guard'];['33-9032', '33-9032'];['33-90', '33-90'];['33', '33'];[('33-9032', '33-90', '33', 'unarmed security guard'), ('33-9032', '33-90', '33', 'unarmed security guard')];2
402;11278;['supervising claims representative', 'underwriting analyst', 'senior claims adjuster', 'claims representative supervisor', 'claims representative'];['13-1031', '13-2053', '13-1031', '13-1031', '43-9041'];['13-10', '13-20', '13-10', '13-10', '43-90'];['13', '13', '13', '13', '43'];[('13-1031', '13-10', '13', 'supervising claims representative'), ('13-2053', '13-20', '13', 'underwriting analyst'), ('13-1031', '13-10', '13', 'senior claims adjuster'), ('13-1031', '13-10', '13', 'claims representative supervisor'), ('43-9041', '43-90', '43', 'claims representative')];5
404;11382;['laborer', 'laborer'];['47-2061', '47-2061'];['47-20', '47-20'];['47', '47'];[('47-2061', '47-20', '47', 'laborer'), ('47-2061', '47-20', '47', 'laborer')];2
405;11447;['supply clerk', 'customer service'];['53-7065', '43-4051'];['53-70', '43-40'];['53', '43'];[('53-7065', '53-70', '53', 'supply clerk'), ('43-4051', '43-40', '43', 'customer service')];2
406;11521;['auditor', 'administrative assistant'];['13-2011', '43-6014'];['13-20', '43-60'];['13', '43'];[('13-2011', '13-20', '13', 'auditor'), ('43-6014', '43-60', '43', 'administrative assistant')];2
407;11529;['customer service representative', 'dental assistant', 'assistant office manager'];['43-4051', '31-9091', '43-6014'];['43-40', '31-90', '43-60'];['43', '31', '43'];[('43-4051', '43-40', '43', 'customer service representative'), ('31-9091', '31-90', '31', 'dental assistant'), ('43-6014', '43-60', '43', 'assistant office manager')];3
408;11561;['gallery assistant', 'gallery attendant', 'administrative assistant', 'sales associate'];['43-6014', '43-6014', '43-6014', '41-2031'];['43-60', '43-60', '43-60', '41-20'];['43', '43', '43', '41'];[('43-6014', '43-60', '43', 'gallery assistant'), ('43-6014', '43-60', '43', 'gallery attendant'), ('43-6014', '43-60', '43', 'administrative assistant'), ('41-2031', '41-20', '41', 'sales associate')];4
409;11576;['preschool teacher', 'preschool teacher'];['25-2011', '25-2011'];['25-20', '25-20'];['25', '25'];[('25-2011', '25-20', '25', 'preschool teacher'), ('25-2011', '25-20', '25', 'preschool teacher')];2
410;11602;['case worker adult outpatient mental health', 'social worker intern adult outpatient mental health'];['21-1023', '21-1023'];['21-10', '21-10'];['21', '21'];[('21-1023', '21-10', '21', 'case worker adult outpatient mental health'), ('21-1023', '21-10', '21', 'social worker intern adult outpatient mental health')];2
411;11634;['long term substitute teacher', '3rd grade math science social studies health teacher', 'northeast district secretary', 'eo chapter corresponding secretary'];['25-2021', '25-2021', '43-6014', '43-6014'];['25-20', '25-20', '43-60', '43-60'];['25', '25', '43', '43'];[('25-2021', '25-20', '25', 'long term substitute teacher'), ('25-2021', '25-20', '25', '3rd grade math science social studies health teacher'), ('43-6014', '43-60', '43', 'northeast district secretary'), ('43-6014', '43-60', '43', 'eo chapter corresponding secretary')];4
413;11640;['assissant manager', 'cashier', 'cashier cook', 'frontend cashier'];['11-1021', '41-2011', '35-3023', '41-2011'];['11-10', '41-20', '35-30', '41-20'];['11', '41', '35', '41'];[('11-1021', '11-10', '11', 'assissant manager'), ('41-2011', '41-20', '41', 'cashier'), ('35-3023', '35-30', '35', 'cashier cook'), ('41-2011', '41-20', '41', 'frontend cashier')];4
415;11660;['senior promotions manager crestor', 'promotions manager', 'managed care promotions manager', 'senior accountant executive', 'account coordinator', 'traffic coordinator'];['11-2011', '11-2011', '11-9111', '13-2011', '43-1011', '43-5071'];['11-20', '11-20', '11-90', '13-20', '43-10', '43-50'];['11', '11', '11', '13', '43', '43'];[('11-2011', '11-20', '11', 'senior promotions manager crestor'), ('11-2011', '11-20', '11', 'promotions manager'), ('11-9111', '11-90', '11', 'managed care promotions manager'), ('13-2011', '13-20', '13', 'senior accountant executive'), ('43-1011', '43-10', '43', 'account coordinator'), ('43-5071', '43-50', '43', 'traffic coordinator')];6
416;11674;['property maintainace manager', 'manager'];['11-9141', '11-1021'];['11-90', '11-10'];['11', '11'];[('11-9141', '11-90', '11', 'property maintainace manager'), ('11-1021', '11-10', '11', 'manager')];2
418;11714;['data analyst', 'relationship associate', 'receptionist', 'order processing clerk'];['13-1111', '41-2031', '43-4171', '43-4151'];['13-10', '41-20', '43-40', '43-40'];['13', '41', '43', '43'];[('13-1111', '13-10', '13', 'data analyst'), ('41-2031', '41-20', '41', 'relationship associate'), ('43-4171', '43-40', '43', 'receptionist'), ('43-4151', '43-40', '43', 'order processing clerk')];4
419;11739;['sr executive district sales manager', 'executive district manager', 'senior professional hospital representative'];['11-2022', '11-1021', '29-2099'];['11-20', '11-10', '29-20'];['11', '11', '29'];[('11-2022', '11-20', '11', 'sr executive district sales manager'), ('11-1021', '11-10', '11', 'executive district manager'), ('29-2099', '29-20', '29', 'senior professional hospital representative')];3
420;11742;['home health aide', 'stna', 'trainer responsible equipping new aides standards care residents'];['31-1121', '31-1131', '31-1131'];['31-10', '31-10', '31-10'];['31', '31', '31'];[('31-1121', '31-10', '31', 'home health aide'), ('31-1131', '31-10', '31', 'stna'), ('31-1131', '31-10', '31', 'trainer responsible equipping new aides standards care residents')];3
421;11808;['summer maintenance worker', 'gis technician', 'excavation laborer'];['49-9071', '15-1299', '47-2061'];['49-90', '15-12', '47-20'];['49', '15', '47'];[('49-9071', '49-90', '49', 'summer maintenance worker'), ('15-1299', '15-12', '15', 'gis technician'), ('47-2061', '47-20', '47', 'excavation laborer')];3
422;11850;['vice president sba credit approval officer', 'sba loan review analyst', 'assistant vice president loan officer'];['11-3031', '13-2041', '11-3031'];['11-30', '13-20', '11-30'];['11', '13', '11'];[('11-3031', '11-30', '11', 'vice president sba credit approval officer'), ('13-2041', '13-20', '13', 'sba loan review analyst'), ('11-3031', '11-30', '11', 'assistant vice president loan officer')];3
424;11870;['marketing', 'senior loan officer', 'senior loan officer special team leader', 'senior consultant'];['11-2021', '13-2072', '13-2072', '13-1111'];['11-20', '13-20', '13-20', '13-10'];['11', '13', '13', '13'];[('11-2021', '11-20', '11', 'marketing'), ('13-2072', '13-20', '13', 'senior loan officer'), ('13-2072', '13-20', '13', 'senior loan officer special team leader'), ('13-1111', '13-10', '13', 'senior consultant')];4
425;11902;['facility manager', 'state real estate manager', 'state real estate manager', 'general services manager', 'maintenance technician'];['11-3012', '11-9141', '11-9141', '11-1021', '49-9071'];['11-30', '11-90', '11-90', '11-10', '49-90'];['11', '11', '11', '11', '49'];[('11-3012', '11-30', '11', 'facility manager'), ('11-9141', '11-90', '11', 'state real estate manager'), ('11-9141', '11-90', '11', 'state real estate manager'), ('11-1021', '11-10', '11', 'general services manager'), ('49-9071', '49-90', '49', 'maintenance technician')];5
426;11933;['cash reconciliation accountant', 'billing manager'];['13-2011', '43-1011'];['13-20', '43-10'];['13', '43'];[('13-2011', '13-20', '13', 'cash reconciliation accountant'), ('43-1011', '43-10', '43', 'billing manager')];2
427;11962;['attendance clerk', 'office manager financial coordinator'];['43-9061', '43-1011'];['43-90', '43-10'];['43', '43'];[('43-9061', '43-90', '43', 'attendance clerk'), ('43-1011', '43-10', '43', 'office manager financial coordinator')];2
431;12103;['security officer unarmed', 'desktop support technician', 'event staff'];['33-9032', '15-1232', '13-1121'];['33-90', '15-12', '13-10'];['33', '15', '13'];[('33-9032', '33-90', '33', 'security officer unarmed'), ('15-1232', '15-12', '15', 'desktop support technician'), ('13-1121', '13-10', '13', 'event staff')];3
436;12189;['administrative clerk', 'administrative assistant'];['43-9061', '43-6014'];['43-90', '43-60'];['43', '43'];[('43-9061', '43-90', '43', 'administrative clerk'), ('43-6014', '43-60', '43', 'administrative assistant')];2
437;12265;['treasurer', 'customer service coordinator'];['11-3031', '43-1011'];['11-30', '43-10'];['11', '43'];[('11-3031', '11-30', '11', 'treasurer'), ('43-1011', '43-10', '43', 'customer service coordinator')];2
438;12332;['store sales manager', 'store manager'];['41-1011', '11-1021'];['41-10', '11-10'];['41', '11'];[('41-1011', '41-10', '41', 'store sales manager'), ('11-1021', '11-10', '11', 'store manager')];2
439;12363;['office manager sales representative', 'performing loan officer'];['41-4012', '13-2072'];['41-40', '13-20'];['41', '13'];[('41-4012', '41-40', '41', 'office manager sales representative'), ('13-2072', '13-20', '13', 'performing loan officer')];2
440;12377;['operations manager', 'finance assistant', 'office manager'];['11-1021', '43-6014', '43-1011'];['11-10', '43-60', '43-10'];['11', '43', '43'];[('11-1021', '11-10', '11', 'operations manager'), ('43-6014', '43-60', '43', 'finance assistant'), ('43-1011', '43-10', '43', 'office manager')];3
442;12393;['auditor', 'initial quality assurance inspector', 'office manager', 'desk', 'office manager'];['13-2011', '51-9061', '43-1011', '43-4081', '43-1011'];['13-20', '51-90', '43-10', '43-40', '43-10'];['13', '51', '43', '43', '43'];[('13-2011', '13-20', '13', 'auditor'), ('51-9061', '51-90', '51', 'initial quality assurance inspector'), ('43-1011', '43-10', '43', 'office manager'), ('43-4081', '43-40', '43', 'desk'), ('43-1011', '43-10', '43', 'office manager')];5
443;12449;['dump truck driver', 'dump truck driver'];['53-3032', '53-3032'];['53-30', '53-30'];['53', '53'];[('53-3032', '53-30', '53', 'dump truck driver'), ('53-3032', '53-30', '53', 'dump truck driver')];2
444;12511;['production assistant', 'president', 'inside sales'];['51-9198', '11-1011', '41-4012'];['51-90', '11-10', '41-40'];['51', '11', '41'];[('51-9198', '51-90', '51', 'production assistant'), ('11-1011', '11-10', '11', 'president'), ('41-4012', '41-40', '41', 'inside sales')];3
446;12647;['customer service representative inbound center', 'sales associate', 'bank teller'];['43-4051', '41-2031', '43-3071'];['43-40', '41-20', '43-30'];['43', '41', '43'];[('43-4051', '43-40', '43', 'customer service representative inbound center'), ('41-2031', '41-20', '41', 'sales associate'), ('43-3071', '43-30', '43', 'bank teller')];3
447;12655;['cashier sacker', 'cook server'];['41-2011', '35-3023'];['41-20', '35-30'];['41', '35'];[('41-2011', '41-20', '41', 'cashier sacker'), ('35-3023', '35-30', '35', 'cook server')];2
449;12710;['seasonal life guard pool management', 'sales associate', 'jewelry sales representative'];['33-9092', '41-2031', '41-2031'];['33-90', '41-20', '41-20'];['33', '41', '41'];[('33-9092', '33-90', '33', 'seasonal life guard pool management'), ('41-2031', '41-20', '41', 'sales associate'), ('41-2031', '41-20', '41', 'jewelry sales representative')];3
450;12762;['operation manager', 'sales coordinator'];['11-1021', '41-1011'];['11-10', '41-10'];['11', '41'];[('11-1021', '11-10', '11', 'operation manager'), ('41-1011', '41-10', '41', 'sales coordinator')];2
452;12778;['inventory analyst buyer', 'purchasing agent'];['13-1023', '13-1023'];['13-10', '13-10'];['13', '13'];[('13-1023', '13-10', '13', 'inventory analyst buyer'), ('13-1023', '13-10', '13', 'purchasing agent')];2
454;12792;['laborer', 'maintenance technician', 'laborer'];['47-2061', '49-9071', '47-2061'];['47-20', '49-90', '47-20'];['47', '49', '47'];[('47-2061', '47-20', '47', 'laborer'), ('49-9071', '49-90', '49', 'maintenance technician'), ('47-2061', '47-20', '47', 'laborer')];3
455;12804;['registered medical assistant', 'bartender', 'bartender'];['31-9092', '35-3011', '35-3011'];['31-90', '35-30', '35-30'];['31', '35', '35'];[('31-9092', '31-90', '31', 'registered medical assistant'), ('35-3011', '35-30', '35', 'bartender'), ('35-3011', '35-30', '35', 'bartender')];3
457;12813;['customer service', 'buyer'];['43-4051', '13-1023'];['43-40', '13-10'];['43', '13'];[('43-4051', '43-40', '43', 'customer service'), ('13-1023', '13-10', '13', 'buyer')];2
458;12837;['human resources generalist', 'human resources coordinator', 'teller'];['13-1071', '13-1071', '43-3071'];['13-10', '13-10', '43-30'];['13', '13', '43'];[('13-1071', '13-10', '13', 'human resources generalist'), ('13-1071', '13-10', '13', 'human resources coordinator'), ('43-3071', '43-30', '43', 'teller')];3
459;12866;['accounting assistant corporate real estate finance', 'process invoices aircraft allocation expense reports check requests journal entries legal analyst', 'databases administrator corporate trust department', 'children department manager', 'merchandising data entry clerk', 'teller'];['11-3031', '43-3031', '15-1242', '11-9151', '43-9021', '43-3071'];['11-30', '43-30', '15-12', '11-90', '43-90', '43-30'];['11', '43', '15', '11', '43', '43'];[('11-3031', '11-30', '11', 'accounting assistant corporate real estate finance'), ('43-3031', '43-30', '43', 'process invoices aircraft allocation expense reports check requests journal entries legal analyst'), ('15-1242', '15-12', '15', 'databases administrator corporate trust department'), ('11-9151', '11-90', '11', 'children department manager'), ('43-9021', '43-90', '43', 'merchandising data entry clerk'), ('43-3071', '43-30', '43', 'teller')];6
461;12902;['manager', 'administrative assistant'];['11-1021', '43-6014'];['11-10', '43-60'];['11', '43'];[('11-1021', '11-10', '11', 'manager'), ('43-6014', '43-60', '43', 'administrative assistant')];2
463;12990;['customer service representative', 'sales consultant', 'sales consultant', 'sales supervisor', 'warehouse associate', 'cashier', 'sales associate'];['43-4051', '41-2031', '41-2031', '41-1011', '53-7065', '41-2011', '41-2031'];['43-40', '41-20', '41-20', '41-10', '53-70', '41-20', '41-20'];['43', '41', '41', '41', '53', '41', '41'];[('43-4051', '43-40', '43', 'customer service representative'), ('41-2031', '41-20', '41', 'sales consultant'), ('41-2031', '41-20', '41', 'sales consultant'), ('41-1011', '41-10', '41', 'sales supervisor'), ('53-7065', '53-70', '53', 'warehouse associate'), ('41-2011', '41-20', '41', 'cashier'), ('41-2031', '41-20', '41', 'sales associate')];7
464;13019;['lead supervisor', 'facilities manager'];['41-1011', '11-3013'];['41-10', '11-30'];['41', '11'];[('41-1011', '41-10', '41', 'lead supervisor'), ('11-3013', '11-30', '11', 'facilities manager')];2
465;13079;['regional manager', 'lead recruiter', 'administrative assistant'];['11-2022', '13-1071', '43-6014'];['11-20', '13-10', '43-60'];['11', '13', '43'];[('11-2022', '11-20', '11', 'regional manager'), ('13-1071', '13-10', '13', 'lead recruiter'), ('43-6014', '43-60', '43', 'administrative assistant')];3
467;13088;['finance director', 'finance manager', 'finance director', 'general manager'];['11-3031', '11-3031', '11-3031', '11-1021'];['11-30', '11-30', '11-30', '11-10'];['11', '11', '11', '11'];[('11-3031', '11-30', '11', 'finance director'), ('11-3031', '11-30', '11', 'finance manager'), ('11-3031', '11-30', '11', 'finance director'), ('11-1021', '11-10', '11', 'general manager')];4
472;13325;['financial specialist', 'staff accountant', 'casino accounting clerk'];['13-2099', '13-2011', '43-3031'];['13-20', '13-20', '43-30'];['13', '13', '43'];[('13-2099', '13-20', '13', 'financial specialist'), ('13-2011', '13-20', '13', 'staff accountant'), ('43-3031', '43-30', '43', 'casino accounting clerk')];3
476;13443;['service consultant', 'store manager', 'store manager', 'asst store manager', 'asst store manager'];['43-1011', '11-1021', '11-1021', '41-1011', '41-1011'];['43-10', '11-10', '11-10', '41-10', '41-10'];['43', '11', '11', '41', '41'];[('43-1011', '43-10', '43', 'service consultant'), ('11-1021', '11-10', '11', 'store manager'), ('11-1021', '11-10', '11', 'store manager'), ('41-1011', '41-10', '41', 'asst store manager'), ('41-1011', '41-10', '41', 'asst store manager')];5
478;13502;['journeyman electrician', 'journeyman electrician'];['47-2111', '47-2111'];['47-20', '47-20'];['47', '47'];[('47-2111', '47-20', '47', 'journeyman electrician'), ('47-2111', '47-20', '47', 'journeyman electrician')];2
479;13622;['shareholder support representative adjustments', 'customer support representative', 'loan representative teller'];['43-4051', '43-4051', '43-3071'];['43-40', '43-40', '43-30'];['43', '43', '43'];[('43-4051', '43-40', '43', 'shareholder support representative adjustments'), ('43-4051', '43-40', '43', 'customer support representative'), ('43-3071', '43-30', '43', 'loan representative teller')];3
484;13774;['digital media planner search performance marketing', 'senior print production coordinator'];['13-1161', '51-1011'];['13-10', '51-10'];['13', '51'];[('13-1161', '13-10', '13', 'digital media planner search performance marketing'), ('51-1011', '51-10', '51', 'senior print production coordinator')];2
485;13779;['order puller', 'sales associate'];['53-7065', '41-2031'];['53-70', '41-20'];['53', '41'];[('53-7065', '53-70', '53', 'order puller'), ('41-2031', '41-20', '41', 'sales associate')];2
486;13798;['group sales representative', 'sales executive', 'investment advisor representative'];['41-4012', '41-4012', '41-3031'];['41-40', '41-40', '41-30'];['41', '41', '41'];[('41-4012', '41-40', '41', 'group sales representative'), ('41-4012', '41-40', '41', 'sales executive'), ('41-3031', '41-30', '41', 'investment advisor representative')];3
487;13817;['senior technical engineer iii', 'engineer ii', 'officer charge municipal engineer'];['17-2141', '17-2112', '17-2051'];['17-20', '17-20', '17-20'];['17', '17', '17'];[('17-2141', '17-20', '17', 'senior technical engineer iii'), ('17-2112', '17-20', '17', 'engineer ii'), ('17-2051', '17-20', '17', 'officer charge municipal engineer')];3
488;13838;['retail store manager', 'retail store manager', 'assistant store manager'];['11-1021', '11-1021', '41-1011'];['11-10', '11-10', '41-10'];['11', '11', '41'];[('11-1021', '11-10', '11', 'retail store manager'), ('11-1021', '11-10', '11', 'retail store manager'), ('41-1011', '41-10', '41', 'assistant store manager')];3
490;13891;['analytical thinker decision maker', 'cashier', 'computers associate'];['13-1161', '41-2011', '41-2031'];['13-10', '41-20', '41-20'];['13', '41', '41'];[('13-1161', '13-10', '13', 'analytical thinker decision maker'), ('41-2011', '41-20', '41', 'cashier'), ('41-2031', '41-20', '41', 'computers associate')];3
492;13942;['executive director', 'nursing home administrator', 'nursing home administrator', 'director nursing', 'vice president business development', 'vice president southeast', 'district manager'];['11-1011', '11-9111', '11-9111', '11-9111', '11-2022', '11-1011', '11-1021'];['11-10', '11-90', '11-90', '11-90', '11-20', '11-10', '11-10'];['11', '11', '11', '11', '11', '11', '11'];[('11-1011', '11-10', '11', 'executive director'), ('11-9111', '11-90', '11', 'nursing home administrator'), ('11-9111', '11-90', '11', 'nursing home administrator'), ('11-9111', '11-90', '11', 'director nursing'), ('11-2022', '11-20', '11', 'vice president business development'), ('11-1011', '11-10', '11', 'vice president southeast'), ('11-1021', '11-10', '11', 'district manager')];7
494;14024;['manager corporate communications', 'director communications', 'director communications', 'communications manager'];['11-2032', '11-2032', '11-2032', '11-2032'];['11-20', '11-20', '11-20', '11-20'];['11', '11', '11', '11'];[('11-2032', '11-20', '11', 'manager corporate communications'), ('11-2032', '11-20', '11', 'director communications'), ('11-2032', '11-20', '11', 'director communications'), ('11-2032', '11-20', '11', 'communications manager')];4
496;14115;['sales manager', 'office medical assistant'];['11-2022', '43-6013'];['11-20', '43-60'];['11', '43'];[('11-2022', '11-20', '11', 'sales manager'), ('43-6013', '43-60', '43', 'office medical assistant')];2
498;14151;['customer service representative', 'customer service representative', 'customer service representative', 'senior customer service representative', 'server'];['43-4051', '43-4051', '43-4051', '43-4051', '35-3031'];['43-40', '43-40', '43-40', '43-40', '35-30'];['43', '43', '43', '43', '35'];[('43-4051', '43-40', '43', 'customer service representative'), ('43-4051', '43-40', '43', 'customer service representative'), ('43-4051', '43-40', '43', 'customer service representative'), ('43-4051', '43-40', '43', 'senior customer service representative'), ('35-3031', '35-30', '35', 'server')];5
