Index;UserId;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;JobTitle_token;JobTitle_token_Id
2488;27727;sr engineer;15-1252;15-12;15;sr engineer;[53, 22]
2489;27727;production planning engineer;17-2112;17-20;17;production planning engineer;[67, 248, 22]
2490;27772;technical analyst;15-1211;15-12;15;technical analyst;[57, 11]
2491;27772;network coordinator;15-1231;15-12;15;network coordinator;[70, 14]
2492;27772;senior support technician;15-1232;15-12;15;senior support technician;[12, 17, 24]
2493;27772;technology support analyst;15-1232;15-12;15;technology support analyst;[170, 17, 11]
2494;27772;systems support analyst mis;15-1211;15-12;15;systems support analyst mis;[56, 17, 11, 362]
2495;27776;website maintenance;15-1254;15-12;15;website maintenance;[550, 72]
2496;27776;website management;15-1254;15-12;15;website management;[550, 60]
2497;27818;general manager;11-1021;11-10;11;general manager;[32, 1]
2498;27818;general manager;11-1021;11-10;11;general manager;[32, 1]
2499;27818;general manager;11-1021;11-10;11;general manager;[32, 1]
2500;27818;general manager;11-1021;11-10;11;general manager;[32, 1]
2501;27818;general manager;11-1021;11-10;11;general manager;[32, 1]
2502;27912;laborer;47-2061;47-20;47;laborer;[121]
2503;27912;fixed guard;33-9032;33-90;33;fixed guard;[450, 165]
2504;27912;supply clerk office mover;43-9061;43-90;43;supply clerk office mover;[247, 13, 8, 682]
2505;28015;general manager;11-1021;11-10;11;general manager;[32, 1]
2506;28015;lead bartender wine sommelier;35-3011;35-30;35;lead bartender wine sommelier;[37, 149, 1023, 0]
2507;28015;bartender;35-3011;35-30;35;bartender;[149]
2508;28015;general manager operations manager;11-1021;11-10;11;general manager operations manager;[32, 1, 20, 1]
2509;28024;human resource manager;11-3121;11-30;11;human resource manager;[33, 150, 1]
2510;28024;administrative assistant;43-6014;43-60;43;administrative assistant;[10, 2]
2511;28091;lingerie category supervisor;41-1011;41-10;41;lingerie category supervisor;[0, 659, 18]
2512;28091;sales associate;41-2031;41-20;41;sales associate;[3, 9]
2513;28195;marketing intern;13-1161;13-10;13;marketing intern;[35, 91]
2514;28195;human resources employee handbook;11-3121;11-30;11;human resources employee handbook;[33, 41, 222, 0]
2515;28195;marketing;11-2021;11-20;11;marketing;[35]
2516;28195;marketing intern;13-1161;13-10;13;marketing intern;[35, 91]
2517;28214;production manager;11-3051;11-30;11;production manager;[67, 1]
2518;28214;plant manager;11-1021;11-10;11;plant manager;[184, 1]
2519;28214;operations manager;11-1021;11-10;11;operations manager;[20, 1]
2520;28214;manufacturing manager;11-3051;11-30;11;manufacturing manager;[151, 1]
2521;28214;assistant production manager;51-1011;51-10;51;assistant production manager;[2, 67, 1]
2522;28214;production supervisor;51-1011;51-10;51;production supervisor;[67, 18]
2523;28233;industrial electrician;47-2111;47-20;47;industrial electrician;[294, 148]
2524;28233;electrician;47-2111;47-20;47;electrician;[148]
2525;28281;liaison customer service tech support;43-4051;43-40;43;liaison customer service tech support;[449, 5, 4, 135, 17]
2526;28281;sales manager;11-2022;11-20;11;sales manager;[3, 1]
2527;28281;sales manager;11-2022;11-20;11;sales manager;[3, 1]
2528;28289;cashier;41-2011;41-20;41;cashier;[15]
2529;28289;phlebotomy intern;31-9097;31-90;31;phlebotomy intern;[513, 91]
2530;28289;inbound sales rep customer service;43-4051;43-40;43;inbound sales rep customer service;[386, 3, 44, 5, 4]
2531;28407;business sales;11-2022;11-20;11;business sales;[28, 3]
2532;28407;retail sales consultant;41-2031;41-20;41;retail sales consultant;[78, 3, 21]
2533;28492;server;35-3031;35-30;35;server;[65]
2534;28492;patient care technician;31-1131;31-10;31;patient care technician;[98, 55, 24]
2535;28493;receptionist clinical auxillary;43-4171;43-40;43;receptionist clinical auxillary;[27, 161, 0]
2536;28493;sales floor associate;41-2031;41-20;41;sales floor associate;[3, 201, 9]
2537;28493;sales floor associate;41-2031;41-20;41;sales floor associate;[3, 201, 9]
2538;28493;receptionist clinical auxiliary;43-4171;43-40;43;receptionist clinical auxiliary;[27, 161, 0]
2539;28496;membership representative;41-3091;41-30;41;membership representative;[561, 6]
2540;28496;member services representative;43-4051;43-40;43;member services representative;[101, 47, 6]
2541;28511;restaurant manager;11-9051;11-90;11;restaurant manager;[295, 1]
2542;28511;general manager;11-1021;11-10;11;general manager;[32, 1]
2543;28511;restaurant manager;11-9051;11-90;11;restaurant manager;[295, 1]
2544;28511;office manager;43-1011;43-10;43;office manager;[8, 1]
2545;28511;teacher;25-2021;25-20;25;teacher;[51]
2546;28511;receptionist;43-4171;43-40;43;receptionist;[27]
2547;28511;receptionist;43-4171;43-40;43;receptionist;[27]
2548;28519;research design engineer;17-2141;17-20;17;research design engineer;[164, 159, 22]
2549;28519;research design engineer;17-2141;17-20;17;research design engineer;[164, 159, 22]
2550;28534;home maintenance employee painting;47-2141;47-20;47;home maintenance employee painting;[100, 72, 222, 1315]
2551;28534;pediatric home care nurse lpn;29-2061;29-20;29;pediatric home care nurse lpn;[383, 100, 55, 30, 140]
2552;28534;group home assistant ihp meetings doctor appointments medication administration;31-9092;31-90;31;group home assistant ihp meetings doctor appointments medication administration;[216, 100, 2, 0, 0, 1024, 1215, 541, 133]
2553;28537;general contractor realtor licensed general contractor licensed;11-9021;11-90;11;general contractor realtor licensed general contractor licensed;[32, 207, 471, 136, 32, 207, 136]
2554;28537;asset manager property manager;11-9141;11-90;11;asset manager property manager;[357, 1, 95, 1]
2555;28537;headquarters facility operations manager managed;11-21;11-20;11;headquarters facility operations manager managed;[1316, 233, 20, 1, 529]
2556;28537;payroll purchasing manager;43-1011;43-10;43;payroll purchasing manager;[103, 86, 1]
2557;28563;office office medical assistant;43-6013;43-60;43;office office medical assistant;[8, 8, 26, 2]
2558;28563;registrar;43-4199;43-40;43;registrar;[434]
2559;28563;pre bill clerk;43-4051;43-40;43;pre bill clerk;[358, 1200, 13]
2560;28563;registrar patient financial counselor;29-2099;29-20;29;registrar patient financial counselor;[434, 98, 43, 88]
2561;28572;project engineer;17-2112;17-20;17;project engineer;[23, 22]
2562;28572;lead project process engineer;17-2112;17-20;17;lead project process engineer;[37, 23, 246, 22]
2563;28572;project management intern;13-1082;13-10;13;project management intern;[23, 60, 91]
2564;28576;shipper;43-5071;43-50;43;shipper;[443]
2565;28576;machine operator;51-9111;51-90;51;machine operator;[144, 38]
2566;28597;help desk analyst active directory administrator;15-1232;15-12;15;help desk analyst active directory administrator;[117, 58, 11, 0, 0, 34]
2567;28597;computer technician contract;15-1232;15-12;15;computer technician contract;[76, 24, 80]
2568;28597;computer technician end manager;15-1232;15-12;15;computer technician end manager;[76, 24, 300, 1]
2569;28634;warehouse worker;53-7062;53-70;53;warehouse worker;[62, 68]
2570;28634;driver;53-3032;53-30;53;driver;[25]
2571;28634;driver truck operater;53-3032;53-30;53;driver truck operater;[25, 89, 1317]
2572;28634;driver;53-3032;53-30;53;driver;[25]
2573;28634;driver;53-3032;53-30;53;driver;[25]
2574;28634;driver;53-3032;53-30;53;driver;[25]
2575;28648;time teacher;25-2021;25-20;25;time teacher;[113, 51]
2576;28648;cashier barista;35-3023;35-30;35;cashier barista;[15, 390]
2577;28648;administrative assistant temporary;43-6014;43-60;43;administrative assistant temporary;[10, 2, 157]
2578;28648;customer service;43-4051;43-40;43;customer service;[5, 4]
2579;28739;administrative assistant receptionist;43-6014;43-60;43;administrative assistant receptionist;[10, 2, 27]
2580;28739;medical administrative assistant;43-6013;43-60;43;medical administrative assistant;[26, 10, 2]
2581;28739;customer service cashier;41-2011;41-20;41;customer service cashier;[5, 4, 15]
2582;28739;sales assistant manager;41-1011;41-10;41;sales assistant manager;[3, 2, 1]
2583;28739;file clerk;43-4071;43-40;43;file clerk;[286, 13]
2584;28834;retail sales representative;41-2031;41-20;41;retail sales representative;[78, 3, 6]
2585;28834;receiving associate;43-5071;43-50;43;receiving associate;[119, 9]
2586;28888;lpn charge nurse subacute care;29-2061;29-20;29;lpn charge nurse subacute care;[140, 166, 30, 0, 55]
2587;28888;agent life health insurance;41-3021;41-30;41;agent life health insurance;[49, 388, 73, 116]
2588;28888;clinic lpn ambulatory care immunizations;29-2061;29-20;29;clinic lpn ambulatory care immunizations;[356, 140, 1025, 55, 0]
2589;28888;director memory care unit;11-9111;11-90;11;director memory care unit;[16, 1318, 55, 173]
2590;28888;asst director ltc alf beds;11-9111;11-90;11;asst director ltc alf beds;[168, 16, 1319, 0, 0]
2591;28888;lpn hemodialysis nurse;29-2061;29-20;29;lpn hemodialysis nurse;[140, 1320, 30]
2592;28888;clinic administrator;11-9111;11-90;11;clinic administrator;[356, 34]
2593;28888;administrative assistant;43-6014;43-60;43;administrative assistant;[10, 2]
2594;28900;marketing manager;11-2021;11-20;11;marketing manager;[35, 1]
2595;28900;promotional event coordinator;13-1121;13-10;13;promotional event coordinator;[1321, 271, 14]
2596;29000;registered nurse;29-1141;29-10;29;registered nurse;[94, 30]
2597;29000;stress test nurse;29-2061;29-20;29;stress test nurse;[1026, 290, 30]
2598;29000;registered school nurse;29-1141;29-10;29;registered school nurse;[94, 194, 30]
2599;29000;registered nurse community health partners;29-1141;29-10;29;registered nurse community health partners;[94, 30, 189, 73, 1282]
2600;29000;registered nurse cardiac cath lab;29-1141;29-10;29;registered nurse cardiac cath lab;[94, 30, 1027, 0, 232]
2601;29000;licensed practical nurse;29-2061;29-20;29;licensed practical nurse;[136, 197, 30]
2602;29000;licensed practical nurse;29-2061;29-20;29;licensed practical nurse;[136, 197, 30]
2603;29004;manager estimating project management;11-9021;11-90;11;manager estimating project management;[1, 683, 23, 60]
2604;29004;manager estimating;11-9021;11-90;11;manager estimating;[1, 683]
2605;29004;manager estimating project management;11-9021;11-90;11;manager estimating project management;[1, 683, 23, 60]
2606;29004;senior project manager;13-1082;13-10;13;senior project manager;[12, 23, 1]
2607;29004;general manager;11-1021;11-10;11;general manager;[32, 1]
2608;29004;manager estimating projects;11-9021;11-90;11;manager estimating projects;[1, 683, 359]
2609;29004;estimator;13-1051;13-10;13;estimator;[299]
2610;29029;cma;31-9092;31-90;31;cma;[1322]
2611;29029;associate;41-2031;41-20;41;associate;[9]
2612;29029;associate;41-2031;41-20;41;associate;[9]
2613;29080;purchasing clerk;43-3061;43-30;43;purchasing clerk;[86, 13]
2614;29080;account service representative;43-4051;43-40;43;account service representative;[29, 4, 6]
2615;29080;computer lab assistant;31-9092;31-90;31;computer lab assistant;[76, 232, 2]
2616;29085;customer service representation senior technical support;15-1232;15-12;15;customer service representation senior technical support;[5, 4, 1264, 12, 57, 17]
2617;29085;administrative assistance;43-6014;43-60;43;administrative assistance;[10, 308]
2618;29118;purchasing manger;11-3061;11-30;11;purchasing manger;[86, 273]
2619;29118;general manager;11-1021;11-10;11;general manager;[32, 1]
2620;29118;outside sales;41-4012;41-40;41;outside sales;[192, 3]
2621;29179;executive assistant;43-6011;43-60;43;executive assistant;[19, 2]
2622;29179;executive assistant;43-6011;43-60;43;executive assistant;[19, 2]
2623;29179;administrative assistant;43-6014;43-60;43;administrative assistant;[10, 2]
2624;29179;employee benefits;13-1141;13-10;13;employee benefits;[222, 221]
2625;29179;distribution clerk customer service;43-4051;43-40;43;distribution clerk customer service;[281, 13, 5, 4]
2626;29179;security officer;33-9032;33-90;33;security officer;[63, 42]
2627;29202;builder multi family sales specialist;41-2031;41-20;41;builder multi family sales specialist;[503, 580, 244, 3, 7]
2628;29202;national account sales specialist;41-4012;41-40;41;national account sales specialist;[175, 29, 3, 7]
2629;29202;vice president;11-1011;11-10;11;vice president;[50, 31]
2630;29202;territory manager;11-2022;11-20;11;territory manager;[141, 1]
2631;29202;territory manager;11-2022;11-20;11;territory manager;[141, 1]
2632;29202;sales marketing manager;11-2021;11-20;11;sales marketing manager;[3, 35, 1]
2633;29202;territory manager;11-2022;11-20;11;territory manager;[141, 1]
2634;29274;center preschool infant toddler director;11-9031;11-90;11;center preschool infant toddler director;[77, 543, 756, 757, 16]
2635;29274;infant toddler private kindergarten director;11-1011;11-10;11;infant toddler private kindergarten director;[756, 757, 402, 681, 16]
2636;29274;quality assurance manager;11-3051;11-30;11;quality assurance manager;[71, 167, 1]
2637;29274;customer service amity freidman n rancho dr. suite;43-4051;43-40;43;customer service amity freidman n rancho dr suite;[5, 4, 0, 0, 1323, 0, 852, 0]
2638;29274;financial officer human resources owner denise schulte zing ct lakewood;11-3121;11-30;11;financial officer human resources owner denise schulte zing ct lakewood;[43, 42, 33, 41, 127, 0, 0, 0, 1324, 0]
2639;29274;customer service agent company longer;43-4051;43-40;43;customer service agent company longer;[5, 4, 49, 311, 0]
2640;29346;sales reception;43-4171;43-40;43;sales reception;[3, 562]
2641;29346;desk receptionist;43-4171;43-40;43;desk receptionist;[58, 27]
2642;29346;college internship;21-1012;21-10;21;college internship;[668, 318]
2643;29357;enrollment adviser;21-1012;21-10;21;enrollment adviser;[348, 0]
2644;29357;portfolio representative;41-3031;41-30;41;portfolio representative;[274, 6]
2645;29357;bank teller;43-3071;43-30;43;bank teller;[241, 99]
2646;29457;marketing communications director;11-2021;11-20;11;marketing communications director;[35, 223, 16]
2647;29457;marketing communications director;11-2021;11-20;11;marketing communications director;[35, 223, 16]
2648;29457;marketing communications manager;11-2021;11-20;11;marketing communications manager;[35, 223, 1]
2649;29468;courier;43-5021;43-50;43;courier;[446]
2650;29468;driver;53-3032;53-30;53;driver;[25]
2651;29479;engineering manager;11-9041;11-90;11;engineering manager;[177, 1]
2652;29479;electrical engineer;17-2071;17-20;17;electrical engineer;[252, 22]
2653;29485;customer service coordinator;43-1011;43-10;43;customer service coordinator;[5, 4, 14]
2654;29485;customer service clerk;43-4051;43-40;43;customer service clerk;[5, 4, 13]
2655;29563;pharmacy intern tech;29-2052;29-20;29;pharmacy intern tech;[142, 91, 135]
2656;29563;team lead export regulatory affairs;11-9199;11-90;11;team lead export regulatory affairs;[75, 37, 589, 419, 421]
2657;29563;regulatory affairs specialist;13-1041;13-10;13;regulatory affairs specialist;[419, 421, 7]
2658;29563;staff pharmacist;29-1051;29-10;29;staff pharmacist;[52, 510]
2659;29568;members sales representative;41-3091;41-30;41;members sales representative;[1325, 3, 6]
2660;29568;clerical administration support;43-6014;43-60;43;clerical administration support;[122, 133, 17]
2661;29568;sales clerk;41-2031;41-20;41;sales clerk;[3, 13]
2662;29589;data entry machine operator;43-9021;43-90;43;data entry machine operator;[45, 59, 144, 38]
2663;29589;office assistant;43-6014;43-60;43;office assistant;[8, 2]
2664;29597;car wash technician;53-7061;53-70;53;car wash technician;[408, 1326, 24]
2665;29597;inventory shipping receiving clerk;43-5071;43-50;43;inventory shipping receiving clerk;[90, 129, 119, 13]
2666;29612;customer service sales associate;41-2031;41-20;41;customer service sales associate;[5, 4, 3, 9]
2667;29612;customer service sales associate seasonal;41-2031;41-20;41;customer service sales associate seasonal;[5, 4, 3, 9, 276]
2668;29690;certified medical assistant;31-9092;31-90;31;certified medical assistant;[74, 26, 2]
2669;29690;certified medical assistant;31-9092;31-90;31;certified medical assistant;[74, 26, 2]
2670;29690;certified nursing assistant;31-1131;31-10;31;certified nursing assistant;[74, 92, 2]
2671;29712;facility access representative;29-2099;29-20;29;facility access representative;[233, 372, 6]
2672;29712;customer assistance team;43-4051;43-40;43;customer assistance team;[5, 308, 75]
2673;29712;credit analyst;13-2041;13-20;13;credit analyst;[111, 11]
2674;29712;collections representative;43-3011;43-30;43;collections representative;[138, 6]
2675;29712;collections representative;43-3011;43-30;43;collections representative;[138, 6]
2676;29742;administrative assistant;43-6014;43-60;43;administrative assistant;[10, 2]
2677;29742;business management;13-1111;13-10;13;business management;[28, 60]
2678;29742;sales associate;41-2031;41-20;41;sales associate;[3, 9]
2679;29775;lead retail sales representative;41-2031;41-20;41;lead retail sales representative;[37, 78, 3, 6]
2680;29775;retail sales consultant;41-2031;41-20;41;retail sales consultant;[78, 3, 21]
2681;29775;universal sales rep;41-3021;41-30;41;universal sales rep;[652, 3, 44]
2682;29775;cashier counter person food preparation;35-3023;35-30;35;cashier counter person food preparation;[15, 280, 331, 162, 989]
2683;29775;file clerk;43-4071;43-40;43;file clerk;[286, 13]
2684;29902;sales associate;41-2031;41-20;41;sales associate;[3, 9]
2685;29902;administrative assistant;43-6014;43-60;43;administrative assistant;[10, 2]
2686;29903;executive assistant;43-6011;43-60;43;executive assistant;[19, 2]
2687;29903;executive assistant;43-6011;43-60;43;executive assistant;[19, 2]
2688;29927;auto claim representative;43-4051;43-40;43;auto claim representative;[309, 473, 6]
2689;29927;auto claim processor;43-4051;43-40;43;auto claim processor;[309, 473, 112]
2690;30007;cashier;41-2011;41-20;41;cashier;[15]
2691;30007;cashier;41-2011;41-20;41;cashier;[15]
2692;30007;cashier;41-2011;41-20;41;cashier;[15]
2693;30019;pre loader;53-7062;53-70;53;pre loader;[358, 553]
2694;30019;operations manager;11-1021;11-10;11;operations manager;[20, 1]
2695;30019;maintenence;49-9071;49-90;49;maintenence;[0]
2696;30019;office manager;43-1011;43-10;43;office manager;[8, 1]
2697;30063;supervisor josh kernan;51-1011;51-10;51;supervisor josh kernan;[18, 0, 0]
2698;30063;supervisor jeff henry;43-1011;43-10;43;supervisor jeff henry;[18, 0, 0]
2699;30063;supervisor marry sneed;51-1011;51-10;51;supervisor marry sneed;[18, 0, 0]
2700;30063;customer service merchandise display stock apparel store organization;41-2031;41-20;41;customer service merchandise display stock apparel store organization;[5, 4, 355, 0, 183, 853, 39, 758]
2701;30166;adawe advisor;13-2052;13-20;13;adawe advisor;[0, 147]
2702;30166;diversity dimension chairperson;11-9033;11-90;11;diversity dimension chairperson;[854, 0, 1028]
2703;30166;ottawa university diversity committee chairperson;11-9033;11-90;11;ottawa university diversity committee chairperson;[0, 1327, 854, 1222, 1028]
2704;30166;academic advisor;21-1012;21-10;21;academic advisor;[422, 147]
2705;30166;director advising;11-9033;11-90;11;director advising;[16, 0]
2706;30180;senior credit collection specialist;43-3011;43-30;43;senior credit collection specialist;[12, 111, 186, 7]
2707;30180;internal auditor;13-2011;13-20;13;internal auditor;[231, 102]
2708;30180;internal auditor;13-2011;13-20;13;internal auditor;[231, 102]
2709;30180;internal auditor mfc;13-2011;13-20;13;internal auditor mfc;[231, 102, 0]
2710;30180;collections representative;43-3011;43-30;43;collections representative;[138, 6]
2711;30184;coffee shop worker;35-3023;35-30;35;coffee shop worker;[1328, 304, 68]
2712;30184;sales associate;41-2031;41-20;41;sales associate;[3, 9]
2713;30184;desk assistant;43-6014;43-60;43;desk assistant;[58, 2]
2714;30193;customer service answering phone lines;43-4051;43-40;43;customer service answering phone lines;[5, 4, 1329, 534, 409]
2715;30193;package handler material handler;53-7062;53-70;53;package handler material handler;[432, 187, 188, 187]
2716;30193;cashier pro shop associate;41-2011;41-20;41;cashier pro shop associate;[15, 604, 304, 9]
2717;30257;registered nurse progressive care telemetry trauma;29-1141;29-10;29;registered nurse progressive care telemetry trauma;[94, 30, 1029, 55, 684, 1030]
2718;30257;customer service representative;43-4051;43-40;43;customer service representative;[5, 4, 6]
2719;30257;student nurse progressive care telemetry;29-1141;29-10;29;student nurse progressive care telemetry;[190, 30, 1029, 55, 684]
2720;30260;receptionist administrative assistant;43-6014;43-60;43;receptionist administrative assistant;[27, 10, 2]
2721;30260;customer service supervisor;43-1011;43-10;43;customer service supervisor;[5, 4, 18]
2722;30260;receptionist;43-4171;43-40;43;receptionist;[27]
2723;30313;supervisor;51-1011;51-10;51;supervisor;[18]
2724;30313;supervisor;51-1011;51-10;51;supervisor;[18]
2725;30313;network administrator;15-1244;15-12;15;network administrator;[70, 34]
2726;30322;office assistant;43-6014;43-60;43;office assistant;[8, 2]
2727;30322;csr;43-4051;43-40;43;csr;[251]
2728;30322;sales associate ladies dept;41-2031;41-20;41;sales associate ladies dept;[3, 9, 1330, 520]
2729;30322;secretary ii ns&m dean office;43-6014;43-60;43;secretary ii ns&m dean office;[46, 61, 0, 855, 8]
2730;30322;sales associate towel dept;41-2031;41-20;41;sales associate towel dept;[3, 9, 0, 520]
2731;30322;administrative assistant temp;43-6014;43-60;43;administrative assistant temp;[10, 2, 163]
2732;30329;administration medical treatments;31-9092;31-90;31;administration medical treatments;[133, 26, 1031]
2733;30329;licensed practical nurse;29-2061;29-20;29;licensed practical nurse;[136, 197, 30]
2734;30329;administration medical treatments;31-9092;31-90;31;administration medical treatments;[133, 26, 1031]
2735;30329;circulating nurse;29-1141;29-10;29;circulating nurse;[856, 30]
2736;30329;circulating nurse;29-1141;29-10;29;circulating nurse;[856, 30]
2737;30329;circulating nurse;29-1141;29-10;29;circulating nurse;[856, 30]
2738;30329;circulating nurse;29-1141;29-10;29;circulating nurse;[856, 30]
2739;30336;marketing assistant;43-6014;43-60;43;marketing assistant;[35, 2]
2740;30336;marketing assistant firestarter marketing;13-1161;13-10;13;marketing assistant firestarter marketing;[35, 2, 0, 35]
2741;30336;office assistant;43-6014;43-60;43;office assistant;[8, 2]
2742;30342;data entry;43-9021;43-90;43;data entry;[45, 59]
2743;30342;order puller;53-7065;53-70;53;order puller;[185, 501]
2744;30342;customer service representative;43-4051;43-40;43;customer service representative;[5, 4, 6]
2745;30346;office manager;43-1011;43-10;43;office manager;[8, 1]
2746;30346;administrative assistant;43-6014;43-60;43;administrative assistant;[10, 2]
2747;30358;strategic marketing executive assistant;43-6011;43-60;43;strategic marketing executive assistant;[253, 35, 19, 2]
2748;30358;executive assistant smithfield;43-6011;43-60;43;executive assistant smithfield;[19, 2, 0]
2749;30358;participant services representative;43-4051;43-40;43;participant services representative;[0, 47, 6]
2750;30407;inbound sales manager;41-1012;41-10;41;inbound sales manager;[386, 3, 1]
2751;30407;customer care supervisor;43-1011;43-10;43;customer care supervisor;[5, 55, 18]
2752;30407;customer account executive;41-4012;41-40;41;customer account executive;[5, 29, 19]
2753;30407;corporate travel agent;41-3041;41-30;41;corporate travel agent;[96, 258, 49]
2754;30407;senior reservation supervisor;43-1011;43-10;43;senior reservation supervisor;[12, 605, 18]
2755;30422;office manager;43-1011;43-10;43;office manager;[8, 1]
2756;30422;host server togo tech;15-1244;15-12;15;host server togo tech;[685, 65, 0, 135]
2757;30422;office assistant;43-6014;43-60;43;office assistant;[8, 2]
2758;30423;technician;29-2052;29-20;29;technician;[24]
2759;30423;technician;29-2052;29-20;29;technician;[24]
2760;30482;marketing associate;13-1161;13-10;13;marketing associate;[35, 9]
2761;30482;marketing intern;13-1161;13-10;13;marketing intern;[35, 91]
2762;30515;administrative assistant 2nd level help desk;43-6014;43-60;43;administrative assistant 2nd level help desk;[10, 2, 502, 225, 117, 58]
2763;30515;client support specialist iii ad migration team desktop;15-1232;15-12;15;client support specialist iii ad migration team desktop;[158, 17, 7, 169, 759, 857, 75, 126]
2764;30515;information processor administrative assistant;43-6014;43-60;43;information processor administrative assistant;[120, 112, 10, 2]
2765;30530;senior technology assistant customer assistance supervisor;41-1011;41-10;41;senior technology assistant customer assistance supervisor;[12, 170, 2, 5, 308, 18]
2766;30530;waitress;35-3031;35-30;35;waitress;[178]
2767;30641;inventory specialist;53-7065;53-70;53;inventory specialist;[90, 7]
2768;30641;event coordinator;13-1121;13-10;13;event coordinator;[271, 14]
2769;30641;loan processor;43-4131;43-40;43;loan processor;[64, 112]
2770;30641;loss mitigation specialist;33-9099;33-90;33;loss mitigation specialist;[292, 506, 7]
2771;30641;counselor;21-1012;21-10;21;counselor;[88]
2772;30725;shipping receiving clerk;43-5071;43-50;43;shipping receiving clerk;[129, 119, 13]
2773;30725;merchandise handler;53-7062;53-70;53;merchandise handler;[355, 187]
2774;30725;sales associate;41-2031;41-20;41;sales associate;[3, 9]
2775;30776;advanced customer service;43-4051;43-40;43;advanced customer service;[551, 5, 4]
2776;30776;office manager;43-1011;43-10;43;office manager;[8, 1]
2777;30776;desk assistant manager;43-6014;43-60;43;desk assistant manager;[58, 2, 1]
2778;30776;jr. loan officer;13-2072;13-20;13;jr loan officer;[467, 64, 42]
2779;30783;operations manager;11-1021;11-10;11;operations manager;[20, 1]
2780;30783;director operations;11-1021;11-10;11;director operations;[16, 20]
2781;30783;operations manager;11-1021;11-10;11;operations manager;[20, 1]
2782;30783;billing collections coordinator;43-1011;43-10;43;billing collections coordinator;[84, 138, 14]
2783;30783;strategic calendar coordinator;43-6011;43-60;43;strategic calendar coordinator;[253, 0, 14]
2784;30993;cashier;41-2011;41-20;41;cashier;[15]
2785;30993;cashier;41-2011;41-20;41;cashier;[15]
2786;31026;co founder financial manager;11-3031;11-30;11;co founder financial manager;[329, 366, 43, 1]
2787;31026;senior financial analyst;13-2051;13-20;13;senior financial analyst;[12, 43, 11]
2788;31026;financial analyst;13-2051;13-20;13;financial analyst;[43, 11]
2789;31026;research analyst;13-1161;13-10;13;research analyst;[164, 11]
2790;31043;event coordinator;13-1121;13-10;13;event coordinator;[271, 14]
2791;31043;medical administrative assistant;43-6013;43-60;43;medical administrative assistant;[26, 10, 2]
2792;31043;medical administrative assistant;43-6013;43-60;43;medical administrative assistant;[26, 10, 2]
2793;31043;collection specialist;43-3011;43-30;43;collection specialist;[186, 7]
2794;31045;vice president;11-1011;11-10;11;vice president;[50, 31]
2795;31045;bank teller;43-3071;43-30;43;bank teller;[241, 99]
2796;31045;bank teller;43-3071;43-30;43;bank teller;[241, 99]
2797;31045;bank teller;43-3071;43-30;43;bank teller;[241, 99]
2798;31189;marketing manger;11-2021;11-20;11;marketing manger;[35, 273]
2799;31189;customer service;43-4051;43-40;43;customer service;[5, 4]
2800;31189;cashier;41-2011;41-20;41;cashier;[15]
2801;31198;groupleader stocker;53-7065;53-70;53;groupleader stocker;[0, 204]
2802;31198;quality line inspector quality tester;51-9061;51-90;51;quality line inspector quality tester;[71, 218, 217, 71, 495]
2803;31198;machine operator;51-9111;51-90;51;machine operator;[144, 38]
2804;31198;licensed forklift operator;53-7051;53-70;53;licensed forklift operator;[136, 128, 38]
2805;31198;finial quality inspector;51-9061;51-90;51;finial quality inspector;[0, 71, 217]
2806;31198;forklift operator;53-7051;53-70;53;forklift operator;[128, 38]
2807;31198;forklift operator;53-7051;53-70;53;forklift operator;[128, 38]
2808;31243;medical receptionist;43-4171;43-40;43;medical receptionist;[26, 27]
2809;31243;night manager;11-9081;11-90;11;night manager;[236, 1]
2810;31270;office clerk;43-9061;43-90;43;office clerk;[8, 13]
2811;31270;certified nursing assistant cna;31-1131;31-10;31;certified nursing assistant cna;[74, 92, 2, 230]
2812;31270;secretary typing;43-6014;43-60;43;secretary typing;[46, 1032]
2813;31300;administrative assistant technical support lead;43-6014;43-60;43;administrative assistant technical support lead;[10, 2, 57, 17, 37]
2814;31300;receptionist;43-4171;43-40;43;receptionist;[27]
2815;31300;customer specialist;43-4051;43-40;43;customer specialist;[5, 7]
2816;31369;vice president estimating;11-1011;11-10;11;vice president estimating;[50, 31, 683]
2817;31369;network administrator;15-1244;15-12;15;network administrator;[70, 34]
2818;31369;chief estimator;13-1051;13-10;13;chief estimator;[123, 299]
2819;31440;pc technician;15-1232;15-12;15;pc technician;[314, 24]
2820;31440;sales associate;41-2031;41-20;41;sales associate;[3, 9]
2821;31440;medical records clerk;29-2072;29-20;29;medical records clerk;[26, 182, 13]
2822;31440;order entry clerk;43-4151;43-40;43;order entry clerk;[185, 59, 13]
2823;31440;customer relations representative;43-4051;43-40;43;customer relations representative;[5, 198, 6]
2824;31514;help desk analyst;15-1232;15-12;15;help desk analyst;[117, 58, 11]
2825;31514;help desk analyst;15-1232;15-12;15;help desk analyst;[117, 58, 11]
2826;31537;food nutritionist specialist;29-1031;29-10;29;food nutritionist specialist;[162, 1331, 7]
2827;31537;administrator;15-1244;15-12;15;administrator;[34]
2828;31584;group operations manager;11-1021;11-10;11;group operations manager;[216, 20, 1]
2829;31584;group service representative;43-4051;43-40;43;group service representative;[216, 4, 6]
2830;31584;customer service;43-4051;43-40;43;customer service;[5, 4]
