Id	MajorGroup	MinorGroup	DetailedOccupation	JobTitle_tokens	JobTitle_tokens_idx
2986	15	15-12	15-1244	procurement system administrator	[301, 180, 34]
2987	15	15-12	15-1244	peoplesoft system administrator	[1096, 180, 34]
2988	15	15-12	15-1242	peoplesoft database analyst	[1096, 261, 11]
2989	13	13-10	13-1111	peoplesoft consultant data analyst	[1096, 21, 45, 11]
2990	13	13-10	13-1151	product delivery specialist certified driver trainer	[107, 172, 7, 74, 25, 110]
2991	13	13-10	13-1081	logistics coordinator	[155, 14]
2992	51	51-90	51-9199	production machine operator	[67, 144, 38]
2993	53	53-30	53-3033	service delivery support	[4, 172, 17]
2994	43	43-40	43-4051	service request representative	[4, 0, 6]
2995	47	47-20	47-2221	union apprentice ironworker cincinnati	[622, 272, 0, 0]
2996	35	35-30	35-3031	time season catering attendant bartender	[113, 0, 350, 267, 149]
2997	31	31-10	31-1131	nursing technician	[92, 24]
2998	11	11-30	11-3031	senior banker management	[12, 205, 60]
2999	41	41-20	41-2031	customer service representative sales floor representative	[5, 4, 6, 3, 201, 6]
3000	13	13-10	13-1121	special events planner bridal events	[211, 404, 193, 878, 404]
3001	43	43-40	43-4051	customer service representative visual merchandising	[5, 4, 6, 902, 440]
3002	41	41-20	41-2011	sales floor cashier	[3, 201, 15]
3003	15	15-12	15-1252	business application developer	[28, 240, 66]
3004	29	29-10	29-1141	r.n outcomes manager	[615, 0, 1]
3005	29	29-10	29-1141	r.n case manager	[615, 114, 1]
3006	29	29-10	29-1141	r.n care coordinator	[615, 55, 14]
3007	29	29-10	29-1141	pre authorization nurse	[358, 1097, 30]
3008	43	43-60	43-6011	administrative assistant principal	[10, 2, 229]
3009	43	43-40	43-4171	referral specialist checkout receptionist	[1314, 7, 0, 27]
3010	13	13-20	13-2011	audit inventory specialist	[266, 90, 7]
3011	43	43-60	43-6014	office assistant tech	[8, 2, 135]
3012	43	43-40	43-4051	field service representative	[145, 4, 6]
3013	11	11-90	11-9041	senior principal engineer	[12, 229, 22]
3014	51	51-10	51-1011	process section head	[246, 1357, 191]
3015	17	17-20	17-2112	process engineer novellus	[246, 22, 0]
3016	41	41-40	41-4011	technical representative	[57, 6]
3017	51	51-10	51-1011	compounding supervisor	[0, 18]
3018	43	43-10	43-1011	accountant manager supervisor	[36, 1, 18]
3019	41	41-20	41-2011	service clerk cashier	[4, 13, 15]
3020	41	41-20	41-2021	service clerk	[4, 13]
3021	13	13-10	13-1023	purchasing specialist	[86, 7]
3022	43	43-10	43-1011	purchasing manager supervisor	[86, 1, 18]
3023	43	43-10	43-1011	receiving department supervisor	[119, 83, 18]
3024	13	13-20	13-2072	jr loan consultant	[467, 64, 21]
3025	31	31-10	31-1122	personal care attendant	[130, 55, 267]
3026	43	43-40	43-4051	client service representative rapid refund rep	[158, 4, 6, 0, 1411, 44]
3027	43	43-60	43-6011	executive assistant manager	[19, 2, 1]
3028	33	33-90	33-9032	private security officer	[402, 63, 42]
3029	53	53-30	53-3032	tractor trailer bobtail driver class cdl	[569, 570, 0, 25, 306, 627]
3030	53	53-30	53-3033	local delivery driver	[425, 172, 25]
3031	51	51-10	51-1011	operations team leader	[20, 75, 109]
3032	31	31-90	31-9091	dental assistant externship	[209, 2, 445]
3033	21	21-10	21-1012	admission counselor	[617, 88]
3034	31	31-10	31-1131	senior resident assistant	[12, 291, 2]
3035	15	15-12	15-1254	web design development	[156, 159, 54]
3036	43	43-40	43-4161	human resource assistant	[33, 150, 2]
3037	41	41-40	41-4012	sales account manager purchasing	[3, 29, 1, 86]
3038	35	35-30	35-3031	receptionist server	[27, 65]
3039	35	35-30	35-3031	server captain steward bartender	[65, 731, 0, 149]
3040	53	53-30	53-3032	road semi driver	[701, 1098, 25]
3041	53	53-30	53-3054	driver passenger	[25, 1412]
3042	43	43-60	43-6012	legal secretary legal assistant	[118, 46, 118, 2]
3043	43	43-60	43-6012	legal assistant legal secretary	[118, 2, 118, 46]
3044	11	11-20	11-2021	director marketing internet sales	[16, 35, 328, 3]
3045	11	11-30	11-3031	director sales finance insurance lending state florida	[16, 3, 93, 116, 629, 439, 774]
3046	11	11-20	11-2022	new car sales manager general sales manager	[242, 408, 3, 1, 32, 3, 1]
3047	29	29-10	29-1141	ny state licensed registered nurse	[0, 439, 136, 94, 30]
3048	13	13-10	13-1151	leadership development program instructor	[571, 54, 115, 196]
3049	11	11-10	11-1011	sophomore class president	[0, 306, 31]
3050	15	15-12	15-1252	member advanced leadership development program	[101, 551, 571, 54, 115]
3051	29	29-20	29-2072	medical claims audit team lead	[26, 81, 266, 75, 37]
3052	29	29-20	29-2072	medical claims auditor	[26, 81, 102]
3053	43	43-40	43-4051	customer claims support representative	[5, 81, 17, 6]
3054	43	43-30	43-3051	payroll hr assistant	[103, 108, 2]
3055	43	43-40	43-4051	provider services representative	[374, 47, 6]
3056	43	43-60	43-6014	administrative assistant ap	[10, 2, 572]
3057	11	11-90	11-9199	membership coordinator	[561, 14]
3058	11	11-90	11-9033	program registrar	[115, 434]
3059	43	43-60	43-6014	silkscreen coordinator	[0, 14]
3060	21	21-10	21-1023	mental health specialist	[239, 73, 7]
3061	21	21-10	21-1014	mental health counselor iii	[239, 73, 88, 169]
3062	29	29-20	29-2072	medical records analyst research assistant	[26, 182, 11, 164, 2]
3063	11	11-90	11-9111	senior care manager	[12, 55, 1]
3064	29	29-10	29-1141	charge nurse ambulatory center	[166, 30, 1025, 77]
3065	21	21-10	21-1091	public health nurse	[352, 73, 30]
3066	43	43-10	43-1011	inventory stock cashier customer service	[90, 183, 15, 5, 4]
3067	41	41-20	41-2011	cashier customer service stock	[15, 5, 4, 183]
3068	43	43-90	43-9041	insurance processor	[116, 112]
3069	35	35-30	35-3023	cashier food preparer	[15, 162, 342]
3070	43	43-90	43-9061	student clerk	[190, 13]
3071	43	43-90	43-9061	temporary clerk	[157, 13]
3072	41	41-40	41-4011	senior medical sales specialist	[12, 26, 3, 7]
3073	41	41-40	41-4011	medical sales representative	[26, 3, 6]
3074	25	25-20	25-2022	junior achievement	[333, 0]
3075	41	41-10	41-1012	2009assistant branch manager sales service coordinator	[0, 106, 1, 3, 4, 14]
3076	11	11-30	11-3031	assistant manager loan training program	[2, 1, 64, 125, 115]
3077	11	11-90	11-9141	steve campfield property manager	[1413, 0, 95, 1]
3078	11	11-10	11-1021	manager patricia mallard	[1, 0, 0]
3079	53	53-70	53-7051	fork lift cherry picker reach lift driver	[458, 363, 0, 325, 1017, 363, 25]
3080	13	13-10	13-1082	project consultant	[23, 21]
3081	53	53-30	53-3052	george motor coach	[1414, 573, 420]
3082	41	41-30	41-3041	license travel agent responsibilities	[332, 258, 49, 1099]
3083	41	41-20	41-2031	otc pharmacy sales associate	[0, 142, 3, 9]
3084	11	11-10	11-1011	executive vice president coo member bank board directors	[19, 50, 31, 626, 101, 241, 413, 1202]
3085	11	11-20	11-2022	executive vice president relationship manager	[19, 50, 31, 353, 1]
3086	11	11-20	11-2022	regional president	[69, 31]
3087	11	11-10	11-1011	executive vice president holding company	[19, 50, 31, 0, 311]
3088	11	11-30	11-3121	progressive senior management positions	[1029, 12, 60, 512]
3089	43	43-10	43-1011	assistant cashier branch manager	[2, 15, 106, 1]
3090	13	13-10	13-1071	employment specialist	[289, 7]
3091	49	49-90	49-9052	line worker	[218, 68]
3092	15	15-12	15-1232	contract hardware technician	[80, 369, 24]
3093	53	53-30	53-3032	professional driver	[226, 25]
3094	29	29-20	29-2052	pharmacy tech	[142, 135]
3095	11	11-30	11-3031	vice president state trust department manager	[50, 31, 439, 985, 83, 1]
3096	11	11-20	11-2022	vice president relationship manager	[50, 31, 353, 1]
3097	11	11-30	11-3031	trust officer	[985, 42]
3098	15	15-12	15-1232	system specialist	[180, 7]
3099	43	43-60	43-6014	administrative assistant central region construction manager	[10, 2, 698, 293, 154, 1]
3100	43	43-40	43-4171	receptionist customer service	[27, 5, 4]
3101	43	43-10	43-1011	teller services manager	[99, 47, 1]
3102	31	31-90	31-9099	endoscopy technician	[0, 24]
3103	29	29-20	29-2012	clinical lab technician	[161, 232, 24]
3104	29	29-10	29-1141	immunization coordinator	[0, 14]
3105	11	11-30	11-3071	transportation manager	[338, 1]
3106	11	11-30	11-3071	transportation safety manager	[338, 202, 1]
3107	41	41-20	41-2031	customer marketing sales associate ii	[5, 35, 3, 9, 61]
3108	41	41-20	41-2011	pt cashier grocery stock clerk	[899, 15, 349, 183, 13]
3109	43	43-40	43-4051	customer service money transactions answer phones	[5, 4, 903, 1362, 1091, 768]
3110	49	49-90	49-9071	mech maint	[1415, 0]
3111	15	15-12	15-1299	computer operator ii	[76, 38, 61]
3112	15	15-12	15-1232	computer support	[76, 17]
3113	43	43-60	43-6011	executive assistant administrative services manager	[19, 2, 10, 47, 1]
3114	29	29-20	29-2056	inventory supply veterinary technician	[90, 247, 667, 24]
3115	13	13-20	13-2011	junior accountant	[333, 36]
3116	41	41-20	41-2031	sales consultant key holder	[3, 21, 307, 521]
3117	29	29-20	29-2012	med tech	[530, 135]
3118	41	41-20	41-2022	counter inside sales	[280, 139, 3]
3119	41	41-10	41-1011	grocery manager	[349, 1]
3120	41	41-10	41-1011	asst mgr	[168, 313]
3121	41	41-20	41-2031	car salesman	[408, 270]
3122	41	41-20	41-2031	retail sales representive	[78, 3, 1416]
3123	41	41-20	41-2031	fitness sales	[0, 3]
3124	31	31-10	31-1122	home instead senior care	[100, 1100, 12, 55]
3125	29	29-20	29-2061	student practical nurse	[190, 197, 30]
3126	15	15-12	15-1253	senior quality assurance analyst	[12, 71, 167, 11]
3127	15	15-12	15-1253	senior software engineer qa lead	[12, 82, 22, 228, 37]
3128	15	15-12	15-1253	senior quality assurance applications administrator	[12, 71, 167, 487, 34]
3129	51	51-10	51-1011	quality assurance supervisor	[71, 167, 18]
3130	43	43-40	43-4171	desk medical receptionist	[58, 26, 27]
3131	53	53-70	53-7051	lift truck operator	[363, 89, 38]
3132	53	53-70	53-7062	dock person	[370, 331]
3133	11	11-90	11-9111	medical practice manager	[26, 474, 1]
3134	15	15-12	15-1251	ms access db development internship	[410, 372, 0, 54, 318]
3135	17	17-20	17-2071	electrical designer	[252, 176]
3136	15	15-12	15-1244	production engineer plm consultant lca administrator	[67, 22, 1417, 21, 0, 34]
3137	15	15-12	15-1244	help desk systems security administrator	[117, 58, 56, 63, 34]
3138	43	43-90	43-9061	clerical temp	[122, 163]
3139	43	43-60	43-6014	secretary administrative	[46, 10]
3140	43	43-60	43-6014	office manager assistant	[8, 1, 2]
3141	15	15-12	15-1252	software design engineer	[82, 159, 22]
3142	43	43-60	43-6014	e business assistant	[454, 28, 2]
3143	43	43-60	43-6011	owner assistant executive chief operating officer	[127, 2, 19, 123, 385, 42]
3144	11	11-90	11-9111	clinical director director licensing accreditation	[161, 16, 16, 883, 0]
3145	29	29-10	29-1141	clinical director telemetry step units	[161, 16, 684, 833, 764]
3146	47	47-20	47-2031	freelance carpenter	[630, 285]
3147	47	47-20	47-2031	apprentice carpenter	[272, 285]
3148	41	41-20	41-2011	cashier runner	[15, 0]
3149	21	21-10	21-1093	assistant foster parent assistant	[2, 694, 475, 2]
3150	43	43-60	43-6011	payroll specialist administrative assistant dewitt iowa	[103, 7, 10, 2, 1418, 1419]
3151	43	43-40	43-4141	personal banker customer service representative dewitt iowa	[130, 205, 5, 4, 6, 1418, 1419]
3152	31	31-90	31-9092	unit assistant patient admissions	[173, 2, 98, 255]
3153	41	41-20	41-2031	customer relations sales consultant	[5, 198, 3, 21]
3154	43	43-60	43-6014	administrative assistant receptionist hd supply	[10, 2, 27, 0, 247]
3155	43	43-40	43-4051	sales marketing customer service representative	[3, 35, 5, 4, 6]
3156	31	31-90	31-9092	chiropractic assistant	[1420, 2]
3157	21	21-10	21-1093	residential coordinator	[235, 14]
3158	31	31-10	31-1122	direct support specialist	[284, 17, 7]
3159	11	11-10	11-1021	end manager	[300, 1]
3160	21	21-10	21-1021	child care counselor	[326, 55, 88]
3161	21	21-10	21-1012	case associate career development specialist	[114, 9, 447, 54, 7]
3162	29	29-20	29-2061	licensed practical nurse nursing home	[136, 197, 30, 92, 100]
3163	43	43-10	43-1011	guest service manager	[260, 4, 1]
3164	43	43-40	43-4051	guest service representative	[260, 4, 6]
3165	29	29-20	29-2061	nursing assistant lpn	[92, 2, 140]
3166	43	43-30	43-3071	time teller	[113, 99]
3167	11	11-30	11-3131	unit manager training	[173, 1, 125]
3168	31	31-10	31-1131	time cna	[113, 230]
3169	11	11-30	11-3031	billing collections manager	[84, 138, 1]
3170	43	43-30	43-3021	medical billing adjudication authorizations	[26, 84, 0, 1421]
3171	13	13-20	13-2099	fraud analyst ii	[607, 11, 61]
3172	43	43-30	43-3031	accounts receivable coordinator	[48, 134, 14]
3173	43	43-30	43-3031	accounts receivable specialist	[48, 134, 7]
3174	13	13-10	13-1071	human resource internship	[33, 150, 318]
3175	11	11-90	11-9111	workplace observation cj hutto senior director operations patient care services	[1101, 970, 0, 0, 12, 16, 20, 98, 55, 47]
3176	11	11-90	11-9111	workplace observation kyle adkins clinic administrator	[1101, 970, 0, 0, 356, 34]
3177	11	11-90	11-9141	liaison company contracted providers property manager	[449, 311, 1422, 0, 95, 1]
3178	49	49-90	49-9052	fiber optic technician	[1102, 1103, 24]
3179	11	11-90	11-9041	chief engineer	[123, 22]
3180	41	41-10	41-1011	sales operations supervisor	[3, 20, 18]
3181	41	41-30	41-3031	financial services associate	[43, 47, 9]
3182	11	11-10	11-1021	acting district manager	[457, 87, 1]
3183	11	11-10	11-1021	store operations manager	[39, 20, 1]
3184	41	41-20	41-2031	retail sales specialist	[78, 3, 7]
3185	43	43-60	43-6011	corporate executive secretary	[96, 19, 46]
3186	53	53-70	53-7065	floor team	[201, 75]
3187	51	51-90	51-9198	general production intern	[32, 67, 91]
3188	41	41-20	41-2031	retail sales associate key holder customer service	[78, 3, 9, 307, 521, 5, 4]
3189	43	43-10	43-1011	lead customer service agent	[37, 5, 4, 49]
3190	43	43-30	43-3031	accounts payable assistant	[48, 85, 2]
3191	31	31-90	31-9092	chiropractor assistant	[0, 2]
3192	43	43-40	43-4051	customer service associate cashier scan coordinator	[5, 4, 9, 15, 1423, 14]
3193	43	43-60	43-6013	office physician assistant	[8, 724, 2]
3194	41	41-20	41-2031	cashier sales floor associate stock person	[15, 3, 201, 9, 183, 331]
3195	41	41-20	41-2011	cashier sales	[15, 3]
3196	53	53-70	53-7062	shipping material handler	[129, 188, 187]
3197	21	21-10	21-1093	parent volunteer	[475, 243]
3198	11	11-30	11-3071	shipping manager	[129, 1]
3199	13	13-10	13-1023	contract inventory specialist	[80, 90, 7]
3200	13	13-20	13-2011	senior staff accountant	[12, 52, 36]
3201	29	29-20	29-2052	cpht ii	[835, 61]
3202	29	29-20	29-2052	cpht	[835]
3203	13	13-10	13-1151	area facilitator	[146, 394]
3204	51	51-90	51-9197	tire builder	[1424, 503]
3205	43	43-40	43-4031	clerk driver training licensing division	[13, 25, 125, 883, 200]
3206	43	43-40	43-4171	cashier receptionist	[15, 27]
3207	43	43-60	43-6014	asistente de administracion en inprema	[1104, 1105, 0, 1425, 0]
3208	43	43-90	43-9061	asistente de gerencia general curiosidades judith	[1104, 1105, 0, 32, 0, 0]
3209	43	43-90	43-9061	asistente de gerencial general tiendas dalila	[1104, 1105, 0, 32, 0, 0]
3210	43	43-60	43-6011	presentation specialist lead office services associate	[0, 7, 37, 8, 47, 9]
3211	35	35-30	35-3031	restaurant bar trainer	[295, 436, 110]
3212	11	11-30	11-3071	f&b logistics manager	[0, 155, 1]
3213	43	43-40	43-4051	consultant support representative	[21, 17, 6]
3214	43	43-10	43-1011	supervisor customer service representative	[18, 5, 4, 6]
3215	13	13-10	13-1199	occupancy specialist	[0, 7]
3216	35	35-30	35-3011	cook bartender	[319, 149]
3217	53	53-70	53-7051	inspect product forklift driver prep	[1426, 107, 128, 25, 466]
3218	53	53-70	53-7065	order filler carousel mods	[185, 1427, 0, 0]
3219	53	53-70	53-7065	stock meat unload truck inventory	[183, 1428, 843, 89, 90]
3220	29	29-10	29-1141	nurse extern	[30, 507]
3221	29	29-10	29-1141	nursing student newborn infant head toe assessment	[92, 190, 0, 756, 191, 1106, 565]
3222	29	29-10	29-1141	nursing student assess infants toddlers	[92, 190, 0, 1429, 1430]
3223	29	29-10	29-1141	nursing student head toe assessment infants toddlers	[92, 190, 191, 1106, 565, 1429, 1430]
3224	29	29-10	29-1141	nursing student head toe assessment patients w neurological problems	[92, 190, 191, 1106, 565, 536, 775, 0, 0]
3225	43	43-40	43-4121	library assistant	[486, 2]
3226	43	43-40	43-4051	client service representative	[158, 4, 6]
3227	43	43-40	43-4051	customer service repair representative	[5, 4, 398, 6]
3228	43	43-40	43-4051	consumer sales service representative	[392, 3, 4, 6]
3229	11	11-30	11-3071	distribution center warehouse lead manager open shopping	[281, 77, 62, 37, 1, 1431, 1432]
3230	11	11-90	11-9032	assistant principal	[2, 229]
3231	11	11-20	11-2021	o march product manager	[560, 0, 107, 1]
3232	15	15-12	15-1299	technical project manager	[57, 23, 1]
3233	13	13-10	13-1071	temporary staffing	[157, 283]
3234	51	51-10	51-1011	processing supervisor	[302, 18]
3235	43	43-10	43-1011	support center supervisor	[17, 77, 18]
3236	43	43-40	43-4031	clerk court office az des	[13, 662, 8, 0, 0]
3237	43	43-40	43-4071	volunteer file clerk	[243, 286, 13]
3238	53	53-70	53-7065	tool parts attendant	[720, 259, 267]
3239	13	13-20	13-2011	field auditor	[145, 102]
3240	15	15-12	15-1232	application support analyst	[240, 17, 11]
3241	15	15-12	15-1254	end web developer	[300, 156, 66]
3242	15	15-12	15-1251	junior software developer	[333, 82, 66]
3243	13	13-10	13-1111	junior analyst	[333, 11]
3244	53	53-70	53-7065	floor clerk	[201, 13]
3245	41	41-20	41-2031	sales associate key holder	[3, 9, 307, 521]
3246	29	29-20	29-2052	medication technician	[541, 24]
3247	21	21-10	21-1023	case manager columbus house mental health halfway house	[114, 1, 0, 597, 239, 73, 0, 597]
3248	21	21-10	21-1011	substance abuse counselor day reporting center	[477, 478, 88, 428, 330, 77]
3249	21	21-10	21-1011	addictions counselor	[0, 88]
3250	21	21-10	21-1013	marriage family therapy intern volunteer	[976, 244, 818, 91, 243]
3251	13	13-10	13-1111	planning analyst	[248, 11]
3252	21	21-10	21-1093	volunteer facilitator	[243, 394]
3253	17	17-20	17-2071	instrumentation electrical designer	[1107, 252, 176]
3254	17	17-20	17-2051	t.w.c ook eng	[0, 0, 814]
3255	17	17-20	17-2141	contracted veco eng	[1422, 0, 814]
3256	43	43-30	43-3011	lead collection specialist	[37, 186, 7]
3257	31	31-10	31-1131	nursing asst	[92, 168]
3258	53	53-70	53-7061	bus cleaner	[264, 0]
3259	29	29-20	29-2011	medical technologist	[26, 213]
3260	43	43-30	43-3031	accounting associate	[40, 9]
3261	43	43-40	43-4051	team lead customer service representative	[75, 37, 5, 4, 6]
3262	11	11-90	11-9141	premier real estate management services	[1305, 275, 282, 60, 47]
3263	43	43-40	43-4111	patient access registrar time evenings	[98, 372, 434, 113, 0]
3264	13	13-10	13-1031	claims mbi	[81, 0]
3265	43	43-60	43-6011	secretary vp	[46, 203]
3266	43	43-60	43-6011	administrative assistant president ceo	[10, 2, 31, 206]
3267	43	43-90	43-9199	compliance assistant	[249, 2]
3268	43	43-60	43-6011	senior administrative assistant executive services	[12, 10, 2, 19, 47]
3269	43	43-60	43-6014	hr admin assistant	[108, 199, 2]
3270	43	43-40	43-4171	sales assistant main receptionist	[3, 2, 1061, 27]
3271	13	13-20	13-2011	quality auditor mass mail area	[71, 102, 0, 287, 146]
3272	11	11-90	11-9141	property manager maintenance man	[95, 1, 72, 776]
3273	15	15-12	15-1211	contract computer systems consultant	[80, 76, 56, 21]
3274	35	35-30	35-3011	server bartender	[65, 149]
3275	43	43-40	43-4051	receptionist customer service representative	[27, 5, 4, 6]
3276	43	43-50	43-5071	warehouse receiving clerk	[62, 119, 13]
3277	11	11-10	11-1021	key manager	[307, 1]
3278	43	43-10	43-1011	branch service leader	[106, 4, 109]
3279	43	43-30	43-3071	customer service representative teller	[5, 4, 6, 99]
3280	25	25-20	25-2031	teacher math grades	[51, 546, 624]
3281	25	25-20	25-2021	teacher academic reading	[51, 422, 809]
3282	43	43-30	43-3031	receptionist accounts receivable account collections scheduling	[27, 48, 134, 29, 138, 531]
3283	25	25-20	25-2021	substitute teacher grades	[438, 51, 624]
3284	11	11-30	11-3121	internal relations recruitment standards board junior member project excellence	[231, 198, 426, 1235, 413, 333, 101, 23, 956]
3285	13	13-10	13-1081	logistics supervisor	[155, 18]
3286	43	43-30	43-3021	billing clerk	[84, 13]
3287	43	43-30	43-3031	bookkeeper payroll	[124, 103]
3288	25	25-20	25-2021	physical education teacher	[990, 219, 51]
3289	43	43-10	43-1011	cashier supervisor	[15, 18]
3290	21	21-10	21-1093	youth svc specialist	[310, 1433, 7]
3291	43	43-90	43-9021	data input payroll clerical	[45, 691, 103, 122]
3292	11	11-90	11-9151	volunteer fundraising social events	[243, 969, 195, 404]
3293	11	11-20	11-2022	primary accounts manager	[611, 48, 1]
3294	13	13-20	13-2072	senior commercial banking officer	[12, 152, 375, 42]
3295	13	13-20	13-2072	consumer banking finance officer	[392, 375, 93, 42]
3296	43	43-40	43-4051	customer claims representative	[5, 81, 6]
3297	11	11-90	11-9013	self employed grain farmer	[838, 904, 0, 1434]
3298	51	51-90	51-9061	mechanical technician inspector	[212, 24, 217]
3299	51	51-90	51-9061	quality inspection product builder	[71, 1435, 107, 503]
3300	29	29-20	29-2052	pharmacist technician	[510, 24]
3301	41	41-20	41-2031	customer service sales representatives	[5, 4, 3, 556]
3302	11	11-10	11-1021	vice president district manager	[50, 31, 87, 1]
3303	11	11-20	11-2021	market manager	[238, 1]
3304	51	51-90	51-9198	industrial worker	[294, 68]
3305	43	43-30	43-3031	clerk accounting	[13, 40]
3306	11	11-20	11-2011	account manager promotion	[29, 1, 777]
3307	41	41-20	41-2031	retail sales consultant subject matter expert	[78, 3, 21, 747, 748, 461]
3308	41	41-40	41-4011	senior sales representative pc technician	[12, 3, 6, 314, 24]
3309	11	11-30	11-3051	executive quality assurance	[19, 71, 167]
3310	13	13-10	13-1082	project trainee	[23, 262]
3311	11	11-30	11-3031	associate director finance operations	[9, 16, 93, 20]
3312	43	43-10	43-1011	manager operation supervisor credit collection	[1, 344, 18, 111, 186]
3313	43	43-90	43-9041	claims processor	[81, 112]
3314	13	13-10	13-1031	senior claims specialist	[12, 81, 7]
3315	43	43-60	43-6011	office team leader	[8, 75, 109]
3316	13	13-10	13-1161	product management intern	[107, 60, 91]
3317	11	11-20	11-2032	dancer public relations co director	[0, 352, 198, 329, 16]
3318	43	43-40	43-4051	billing specialist csr	[84, 7, 251]
3319	53	53-70	53-7064	packer line assembler tem	[317, 218, 1108, 0]
3320	43	43-90	43-9061	office clerk seasonal	[8, 13, 276]
3321	41	41-10	41-1011	asst supervisor team lead	[168, 18, 75, 37]
3322	47	47-20	47-2031	construction apprentice	[154, 272]
3323	11	11-20	11-2022	vice president sales marketing	[50, 31, 3, 35]
3324	11	11-20	11-2022	sales manager tdi	[3, 1, 0]
3325	29	29-20	29-2099	admitting representative	[905, 6]
3326	43	43-40	43-4111	ed admitting registrar	[1197, 905, 434]
3327	43	43-60	43-6014	administrative support assistance	[10, 17, 308]
3328	43	43-60	43-6013	office receptionist medical records	[8, 27, 26, 182]
3329	41	41-20	41-2011	apc clerk	[0, 13]
3330	53	53-30	53-3032	tow truck driver	[1109, 89, 25]
3331	43	43-90	43-9061	secretary attendance clerk	[46, 1237, 13]
3332	43	43-60	43-6014	school secretary	[194, 46]
3333	25	25-20	25-2021	hillsborough county substitute teacher	[0, 517, 438, 51]
3334	41	41-20	41-2031	photolab cellular sales associate	[0, 0, 3, 9]
3335	33	33-90	33-9032	sgt security officer	[0, 63, 42]
3336	15	15-12	15-1211	programmer analyst ii	[104, 11, 61]
3337	43	43-60	43-6014	administrative assistant ii	[10, 2, 61]
3338	43	43-60	43-6014	technical administrative assistant	[57, 10, 2]
3339	15	15-12	15-1211	database analyst project lead	[261, 11, 23, 37]
3340	15	15-12	15-1242	database analyst	[261, 11]
3341	43	43-40	43-4171	receptionist sales rep	[27, 3, 44]
3342	43	43-10	43-1011	line supervisor cashier	[218, 18, 15]
3343	53	53-70	53-7065	stockperson	[0]
3344	43	43-90	43-9061	registrar&office clerk	[0, 13]
3345	43	43-40	43-4171	accounting&office clerk receptionist	[0, 13, 27]
3346	43	43-10	43-1011	customer administrator	[5, 34]
3347	13	13-10	13-1161	associate product manager	[9, 107, 1]
3348	13	13-10	13-1161	product specialist	[107, 7]
3349	13	13-20	13-2011	professional project consultant jv accounting	[226, 23, 21, 1436, 40]
3350	13	13-10	13-1111	sr business analyst budget management	[53, 28, 11, 435, 60]
3351	13	13-20	13-2011	senior gas plant accounting analyst	[12, 641, 184, 40, 11]
3352	13	13-10	13-1111	variable expense business analyst	[0, 464, 28, 11]
3353	11	11-10	11-1021	general business manager consultant p t	[32, 28, 1, 21, 631, 1437]
3354	13	13-20	13-2011	senior energy accountant team lead	[12, 677, 36, 75, 37]
3355	13	13-20	13-2051	senior financial analyst commodity accounting	[12, 43, 11, 846, 40]
3356	31	31-10	31-1132	transporter	[892]
3357	43	43-50	43-5052	mail carrier	[287, 431]
3358	43	43-40	43-4051	customer service representatives customer service representatives	[5, 4, 556, 5, 4, 556]
3359	43	43-90	43-9041	insurance policy processing clerk unknown onet title	[116, 655, 302, 13, 0, 0, 387]
3360	13	13-20	13-2072	realtor loan officer	[471, 64, 42]
3361	13	13-20	13-2072	loan officer property manager	[64, 42, 95, 1]
3362	51	51-10	51-1011	production foreman	[67, 465]
3363	41	41-20	41-2011	gas station cashier	[641, 1205, 15]
3364	25	25-20	25-2031	high school math teacher	[384, 194, 546, 51]
3365	15	15-12	15-1251	computer programmer	[76, 104]
3366	13	13-10	13-1161	marketing advisor	[35, 147]
3367	35	35-30	35-3011	supervisor bartender cocktail	[18, 149, 778]
3368	43	43-30	43-3031	hostess chef bookkeeper palisades	[278, 509, 124, 0]
3369	35	35-30	35-3031	time food preparatory	[113, 162, 0]
3370	43	43-40	43-4051	customer care rep	[5, 55, 44]
3371	13	13-10	13-1121	site coordinator	[269, 14]
3372	11	11-90	11-9141	commercial property manager	[152, 95, 1]
3373	25	25-20	25-2011	day care provider teacher	[428, 55, 374, 51]
3374	43	43-60	43-6014	2008administrative assistant	[0, 2]
3375	11	11-20	11-2022	sales manager advertising	[3, 1, 297]
3376	11	11-30	11-3051	training manager quality control manager	[125, 1, 71, 97, 1]
3377	53	53-70	53-7061	car wash attendant	[408, 1326, 267]
3378	11	11-30	11-3031	financial director partner	[43, 16, 298]
3379	41	41-20	41-2011	salesman cashier	[270, 15]
3380	15	15-12	15-1244	lead server	[37, 65]
3381	41	41-10	41-1011	floor supervisor	[201, 18]
3382	43	43-90	43-9061	purchasing assistant	[86, 2]
3383	13	13-20	13-2011	auditor adecco temp agency	[102, 1438, 163, 751]
3384	31	31-90	31-9096	vet assistant	[0, 2]
3385	47	47-20	47-2211	sheet metal mechanic	[1002, 601, 171]
3386	41	41-10	41-1012	supervisor fireplace sales installation	[18, 0, 3, 417]
3387	41	41-20	41-2011	sales customer service cashier	[3, 5, 4, 15]
3388	53	53-70	53-7065	sales inventory	[3, 90]
3389	43	43-10	43-1011	delivery customer service	[172, 5, 4]
3390	21	21-10	21-1014	mental health associate	[239, 73, 9]
3391	41	41-20	41-2031	customer service cashier apparel sales associate	[5, 4, 15, 853, 3, 9]
3392	31	31-10	31-1121	certified nursing assistant home health aide	[74, 92, 2, 100, 73, 131]
